,mOTU
COMPLETE-SET-AND-BULK_mOTU_746,12
COMPLETE-SET-AND-BULK_mOTU_232,12
COMPLETE-SET-AND-BULK_mOTU_656,12
COMPLETE-SET-AND-BULK_mOTU_115,11
COMPLETE-SET-AND-BULK_mOTU_279,11
COMPLETE-SET-AND-BULK_mOTU_523,11
COMPLETE-SET-AND-BULK_mOTU_671,11
COMPLETE-SET-AND-BULK_mOTU_109,11
COMPLETE-SET-AND-BULK_mOTU_585,11
COMPLETE-SET-AND-BULK_mOTU_065,11
COMPLETE-SET-AND-BULK_mOTU_825,11
COMPLETE-SET-AND-BULK_mOTU_071,11
COMPLETE-SET-AND-BULK_mOTU_049,11
COMPLETE-SET-AND-BULK_mOTU_298,11
COMPLETE-SET-AND-BULK_mOTU_278,11
COMPLETE-SET-AND-BULK_mOTU_404,10
COMPLETE-SET-AND-BULK_mOTU_271,10
COMPLETE-SET-AND-BULK_mOTU_352,10
COMPLETE-SET-AND-BULK_mOTU_793,10
COMPLETE-SET-AND-BULK_mOTU_144,10
COMPLETE-SET-AND-BULK_mOTU_276,10
COMPLETE-SET-AND-BULK_mOTU_275,10
COMPLETE-SET-AND-BULK_mOTU_263,10
COMPLETE-SET-AND-BULK_mOTU_083,10
COMPLETE-SET-AND-BULK_mOTU_209,10
COMPLETE-SET-AND-BULK_mOTU_100,10
COMPLETE-SET-AND-BULK_mOTU_763,10
COMPLETE-SET-AND-BULK_mOTU_321,9
COMPLETE-SET-AND-BULK_mOTU_853,9
COMPLETE-SET-AND-BULK_mOTU_649,9
COMPLETE-SET-AND-BULK_mOTU_030,9
COMPLETE-SET-AND-BULK_mOTU_440,9
COMPLETE-SET-AND-BULK_mOTU_154,9
COMPLETE-SET-AND-BULK_mOTU_463,9
COMPLETE-SET-AND-BULK_mOTU_311,9
COMPLETE-SET-AND-BULK_mOTU_358,9
COMPLETE-SET-AND-BULK_mOTU_438,9
COMPLETE-SET-AND-BULK_mOTU_511,9
COMPLETE-SET-AND-BULK_mOTU_261,9
COMPLETE-SET-AND-BULK_mOTU_256,9
COMPLETE-SET-AND-BULK_mOTU_134,9
COMPLETE-SET-AND-BULK_mOTU_124,9
COMPLETE-SET-AND-BULK_mOTU_789,9
COMPLETE-SET-AND-BULK_mOTU_465,9
COMPLETE-SET-AND-BULK_mOTU_513,9
COMPLETE-SET-AND-BULK_mOTU_654,9
COMPLETE-SET-AND-BULK_mOTU_842,9
COMPLETE-SET-AND-BULK_mOTU_211,9
COMPLETE-SET-AND-BULK_mOTU_571,8
COMPLETE-SET-AND-BULK_mOTU_161,8
COMPLETE-SET-AND-BULK_mOTU_122,8
COMPLETE-SET-AND-BULK_mOTU_214,8
COMPLETE-SET-AND-BULK_mOTU_544,8
COMPLETE-SET-AND-BULK_mOTU_167,8
COMPLETE-SET-AND-BULK_mOTU_683,8
COMPLETE-SET-AND-BULK_mOTU_444,8
COMPLETE-SET-AND-BULK_mOTU_255,8
COMPLETE-SET-AND-BULK_mOTU_856,8
COMPLETE-SET-AND-BULK_mOTU_748,8
COMPLETE-SET-AND-BULK_mOTU_436,8
COMPLETE-SET-AND-BULK_mOTU_378,8
COMPLETE-SET-AND-BULK_mOTU_540,8
COMPLETE-SET-AND-BULK_mOTU_798,8
COMPLETE-SET-AND-BULK_mOTU_170,8
COMPLETE-SET-AND-BULK_mOTU_126,8
COMPLETE-SET-AND-BULK_mOTU_495,8
COMPLETE-SET-AND-BULK_mOTU_164,8
COMPLETE-SET-AND-BULK_mOTU_418,8
COMPLETE-SET-AND-BULK_mOTU_235,8
COMPLETE-SET-AND-BULK_mOTU_273,8
COMPLETE-SET-AND-BULK_mOTU_403,8
COMPLETE-SET-AND-BULK_mOTU_693,8
COMPLETE-SET-AND-BULK_mOTU_031,8
COMPLETE-SET-AND-BULK_mOTU_504,8
COMPLETE-SET-AND-BULK_mOTU_076,8
COMPLETE-SET-AND-BULK_mOTU_721,8
COMPLETE-SET-AND-BULK_mOTU_229,8
COMPLETE-SET-AND-BULK_mOTU_056,8
COMPLETE-SET-AND-BULK_mOTU_218,8
COMPLETE-SET-AND-BULK_mOTU_114,8
COMPLETE-SET-AND-BULK_mOTU_177,8
COMPLETE-SET-AND-BULK_mOTU_017,8
COMPLETE-SET-AND-BULK_mOTU_462,7
COMPLETE-SET-AND-BULK_mOTU_590,7
COMPLETE-SET-AND-BULK_mOTU_716,7
COMPLETE-SET-AND-BULK_mOTU_494,7
COMPLETE-SET-AND-BULK_mOTU_092,7
COMPLETE-SET-AND-BULK_mOTU_411,7
COMPLETE-SET-AND-BULK_mOTU_234,7
COMPLETE-SET-AND-BULK_mOTU_141,7
COMPLETE-SET-AND-BULK_mOTU_515,7
COMPLETE-SET-AND-BULK_mOTU_387,7
COMPLETE-SET-AND-BULK_mOTU_669,7
COMPLETE-SET-AND-BULK_mOTU_460,7
COMPLETE-SET-AND-BULK_mOTU_075,7
COMPLETE-SET-AND-BULK_mOTU_659,7
COMPLETE-SET-AND-BULK_mOTU_266,7
COMPLETE-SET-AND-BULK_mOTU_507,7
COMPLETE-SET-AND-BULK_mOTU_110,7
COMPLETE-SET-AND-BULK_mOTU_402,7
COMPLETE-SET-AND-BULK_mOTU_160,7
COMPLETE-SET-AND-BULK_mOTU_723,7
COMPLETE-SET-AND-BULK_mOTU_036,7
COMPLETE-SET-AND-BULK_mOTU_823,7
COMPLETE-SET-AND-BULK_mOTU_754,7
COMPLETE-SET-AND-BULK_mOTU_347,7
COMPLETE-SET-AND-BULK_mOTU_470,7
COMPLETE-SET-AND-BULK_mOTU_488,7
COMPLETE-SET-AND-BULK_mOTU_196,7
COMPLETE-SET-AND-BULK_mOTU_044,7
COMPLETE-SET-AND-BULK_mOTU_057,7
COMPLETE-SET-AND-BULK_mOTU_053,7
COMPLETE-SET-AND-BULK_mOTU_306,7
COMPLETE-SET-AND-BULK_mOTU_662,7
COMPLETE-SET-AND-BULK_mOTU_807,7
COMPLETE-SET-AND-BULK_mOTU_082,7
COMPLETE-SET-AND-BULK_mOTU_510,6
COMPLETE-SET-AND-BULK_mOTU_093,6
COMPLETE-SET-AND-BULK_mOTU_382,6
COMPLETE-SET-AND-BULK_mOTU_328,6
COMPLETE-SET-AND-BULK_mOTU_413,6
COMPLETE-SET-AND-BULK_mOTU_051,6
COMPLETE-SET-AND-BULK_mOTU_163,6
COMPLETE-SET-AND-BULK_mOTU_471,6
COMPLETE-SET-AND-BULK_mOTU_341,6
COMPLETE-SET-AND-BULK_mOTU_648,6
COMPLETE-SET-AND-BULK_mOTU_258,6
